i,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,y
0,30,blue-collar,married,basic.9y,no,yes,no,cellular,may,fri,487,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,no
1,39,services,single,high.school,no,no,no,telephone,may,fri,346,4,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
2,25,services,married,high.school,no,yes,no,telephone,jun,wed,227,1,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no
3,47,admin.,married,university.degree,no,yes,no,cellular,nov,mon,58,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no
4,32,services,single,university.degree,no,no,no,cellular,sep,thu,128,3,999,2,failure,-1.1,94.199,-37.5,0.884,4963.6,no
5,32,admin.,single,university.degree,no,yes,no,cellular,sep,mon,290,4,999,0,nonexistent,-1.1,94.199,-37.5,0.879,4963.6,no
6,31,services,divorced,professional.course,no,no,no,cellular,nov,tue,68,1,999,1,failure,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no
7,36,self-employed,single,basic.4y,no,no,no,cellular,jul,thu,148,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.968,5228.1,no
8,36,admin.,married,high.school,no,no,no,telephone,may,wed,97,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
9,47,blue-collar,married,basic.4y,no,yes,no,telephone,jun,thu,211,2,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no
10,29,admin.,single,high.school,no,no,no,cellular,may,fri,553,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,no
11,27,services,single,university.degree,no,no,no,cellular,jul,wed,698,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no
12,44,admin.,divorced,university.degree,no,no,no,cellular,jul,wed,191,6,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.957,5228.1,no
13,46,admin.,divorced,university.degree,no,yes,no,telephone,jul,mon,59,4,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
14,50,blue-collar,married,basic.4y,no,no,yes,cellular,jul,tue,849,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,yes
15,39,technician,divorced,high.school,no,no,no,cellular,mar,mon,222,1,12,2,success,-1.8,93.369,-34.8,0.639,5008.7,yes
16,29,technician,single,university.degree,no,yes,yes,cellular,aug,wed,626,3,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no
17,40,management,married,high.school,no,no,yes,cellular,aug,wed,119,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
18,38,technician,married,professional.course,no,yes,no,cellular,aug,mon,479,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes
19,36,technician,divorced,professional.course,no,no,no,telephone,may,wed,446,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
20,34,admin.,married,university.degree,no,no,no,cellular,aug,tue,109,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
21,38,technician,married,university.degree,no,yes,yes,cellular,mar,tue,113,1,999,1,failure,-1.8,92.84299999999999,-50.0,1.6869999999999998,5099.1,no
22,51,technician,single,university.degree,no,no,no,cellular,jun,fri,151,2,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,no
23,48,technician,married,university.degree,no,no,no,cellular,aug,thu,42,7,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no
24,28,blue-collar,single,basic.9y,no,yes,no,telephone,jun,wed,525,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
25,36,blue-collar,married,basic.6y,no,yes,no,telephone,may,wed,57,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
26,46,management,divorced,high.school,no,no,no,cellular,nov,wed,499,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
27,76,retired,married,university.degree,no,no,no,cellular,aug,thu,126,1,999,1,failure,-1.7,94.027,-38.3,0.899,4991.6,no
28,45,entrepreneur,divorced,professional.course,no,yes,no,cellular,jul,tue,211,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no
29,32,housemaid,married,basic.4y,no,yes,yes,cellular,may,fri,340,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,no
30,32,admin.,married,university.degree,no,no,no,telephone,nov,thu,132,1,999,0,nonexistent,-0.1,93.2,-42.0,4.592,5195.8,no
31,29,admin.,single,basic.9y,no,no,no,cellular,may,mon,79,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,no
32,44,services,married,professional.course,no,no,no,cellular,aug,mon,341,2,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,no
33,32,services,married,high.school,no,no,yes,cellular,jul,fri,157,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.957,5228.1,no
34,56,retired,married,university.degree,no,yes,no,cellular,jun,wed,252,1,999,2,failure,-2.9,92.963,-40.8,1.26,5076.2,no
35,33,blue-collar,married,basic.9y,no,yes,no,cellular,may,thu,263,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1,no
36,39,management,married,high.school,no,no,no,cellular,aug,fri,215,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
37,24,technician,married,university.degree,no,yes,yes,cellular,sep,tue,89,2,3,1,success,-3.4,92.37899999999999,-29.8,0.77,5017.5,yes
38,33,admin.,single,university.degree,no,yes,no,cellular,may,thu,143,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1,no
39,58,entrepreneur,divorced,university.degree,no,no,no,telephone,jun,thu,40,2,999,0,nonexistent,1.4,94.465,-41.8,4.8660000000000005,5228.1,no
40,29,admin.,single,university.degree,no,yes,no,telephone,jun,fri,10,27,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
41,31,admin.,married,university.degree,no,yes,no,cellular,aug,thu,113,1,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,no
42,27,admin.,married,university.degree,no,no,no,telephone,may,wed,191,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
43,60,admin.,divorced,professional.course,no,yes,no,cellular,sep,wed,481,1,999,1,failure,-1.1,94.199,-37.5,0.8859999999999999,4963.6,yes
44,55,entrepreneur,married,professional.course,no,yes,yes,cellular,oct,mon,233,1,999,2,failure,-3.4,92.431,-26.9,0.7390000000000001,5017.5,no
45,37,blue-collar,married,basic.9y,no,yes,no,cellular,may,wed,204,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.334,5099.1,no
46,46,services,married,high.school,no,yes,no,cellular,apr,mon,180,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
47,42,blue-collar,divorced,basic.6y,no,yes,no,cellular,may,wed,16,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.281,5099.1,no
48,35,admin.,single,university.degree,no,yes,no,cellular,jul,mon,447,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,no
49,29,services,divorced,high.school,no,no,yes,telephone,jun,mon,361,3,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
50,32,blue-collar,married,basic.9y,no,no,no,cellular,nov,mon,1091,2,5,1,success,-0.1,93.2,-42.0,4.191,5195.8,yes
51,37,self-employed,married,university.degree,no,no,no,cellular,may,fri,395,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,no
52,28,admin.,single,high.school,no,yes,no,cellular,may,tue,59,3,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.291,5099.1,no
53,34,management,married,university.degree,no,yes,no,cellular,may,wed,77,4,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.281,5099.1,no
54,31,technician,single,high.school,no,yes,yes,cellular,aug,tue,768,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,yes
55,31,admin.,married,university.degree,no,yes,no,cellular,aug,thu,96,5,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no
56,31,admin.,single,university.degree,no,yes,no,telephone,jun,wed,357,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
