i,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,y
0,50,blue-collar,married,basic.4y,no,no,yes,cellular,jul,tue,849,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,yes
1,39,technician,divorced,high.school,no,no,no,cellular,mar,mon,222,1,12,2,success,-1.8,93.369,-34.8,0.639,5008.7,yes
2,38,technician,married,professional.course,no,yes,no,cellular,aug,mon,479,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes
3,24,technician,married,university.degree,no,yes,yes,cellular,sep,tue,89,2,3,1,success,-3.4,92.37899999999999,-29.8,0.77,5017.5,yes
4,60,admin.,divorced,professional.course,no,yes,no,cellular,sep,wed,481,1,999,1,failure,-1.1,94.199,-37.5,0.8859999999999999,4963.6,yes
5,32,blue-collar,married,basic.9y,no,no,no,cellular,nov,mon,1091,2,5,1,success,-0.1,93.2,-42.0,4.191,5195.8,yes
6,31,technician,single,high.school,no,yes,yes,cellular,aug,tue,768,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,yes
7,57,retired,married,university.degree,no,yes,no,cellular,apr,thu,374,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,no
8,45,admin.,single,university.degree,no,no,no,cellular,aug,thu,505,1,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,yes
9,41,entrepreneur,married,university.degree,no,yes,no,cellular,nov,tue,854,1,999,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8,yes
10,75,retired,married,basic.4y,no,no,no,cellular,apr,tue,109,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,yes
11,38,admin.,divorced,university.degree,no,no,no,cellular,apr,mon,360,1,999,0,nonexistent,-1.8,93.075,-47.1,1.392,5099.1,yes
12,58,retired,divorced,high.school,no,yes,no,cellular,jun,tue,663,1,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,yes
13,53,blue-collar,divorced,basic.4y,no,no,no,telephone,jun,wed,706,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,yes
14,28,technician,single,professional.course,no,yes,no,cellular,aug,thu,63,2,3,1,success,-2.9,92.20100000000001,-31.4,0.851,5076.2,yes
15,82,housemaid,married,basic.4y,no,no,no,telephone,sep,tue,279,3,3,2,success,-1.1,94.199,-37.5,0.877,4963.6,yes
16,31,unemployed,single,university.degree,no,yes,no,cellular,jul,tue,309,1,6,3,success,-1.7,94.215,-40.3,0.835,4991.6,yes
17,45,admin.,married,high.school,no,yes,no,cellular,oct,fri,738,3,6,1,success,-1.1,94.601,-49.5,1.0290000000000001,4963.6,yes
18,52,blue-collar,married,basic.9y,no,no,no,cellular,aug,fri,809,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,yes
19,50,blue-collar,married,basic.6y,no,yes,no,cellular,may,mon,293,3,3,1,success,-1.8,92.89299999999999,-46.2,1.354,5099.1,yes
20,50,blue-collar,divorced,high.school,no,yes,yes,cellular,jul,mon,629,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,yes
21,29,admin.,single,high.school,no,yes,no,telephone,nov,mon,207,1,6,1,success,-1.1,94.76700000000001,-50.8,1.05,4963.6,no
22,76,retired,single,basic.4y,no,no,no,cellular,nov,mon,347,4,6,1,success,-3.4,92.649,-30.1,0.715,5017.5,yes
23,33,admin.,single,university.degree,no,yes,no,cellular,aug,thu,686,4,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,yes
24,41,services,married,high.school,no,no,no,cellular,mar,wed,377,6,999,0,nonexistent,-1.8,92.84299999999999,-50.0,1.778,5099.1,yes
25,32,technician,married,professional.course,no,yes,no,cellular,jul,thu,255,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,yes
26,54,admin.,married,professional.course,no,no,no,cellular,nov,tue,1868,2,10,1,success,-1.1,94.76700000000001,-50.8,1.035,4963.6,yes
27,58,blue-collar,married,basic.9y,no,yes,no,cellular,aug,mon,846,1,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,yes
28,59,technician,married,professional.course,no,no,no,cellular,jun,thu,1207,4,999,1,failure,-1.7,94.055,-39.8,0.742,4991.6,yes
29,26,technician,single,university.degree,no,yes,no,cellular,jul,fri,806,3,6,2,success,-1.7,94.215,-40.3,0.861,4991.6,yes
30,57,retired,married,basic.9y,no,no,no,cellular,aug,tue,388,4,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes
31,29,admin.,single,university.degree,no,yes,no,cellular,mar,mon,215,1,999,0,nonexistent,-1.8,93.369,-34.8,0.639,5008.7,yes
